Match_ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,rain_game
1360,2011-07-18,Fortuna Dusseldorf,Bochum,2,0,H,0
1361,2012-02-25,Greuther Furth,Bochum,6,2,H,0
1362,2011-08-08,Hansa Rostock,Bochum,0,0,D,1
1363,2011-10-01,Ingolstadt,Bochum,3,5,A,0
1364,2012-03-24,Bayern Munich,Hannover,2,1,H,0
1365,2011-11-19,Wolfsburg,Hannover,4,1,H,0
1366,2012-04-14,Hamburg,Hannover,1,0,H,0
1367,2011-10-16,FC Koln,Hannover,2,0,H,0
1368,2011-09-24,Augsburg,Hannover,0,0,D,0
1369,2012-04-08,Schalke 04,Hannover,3,0,H,0
1370,2011-12-18,Kaiserslautern,Hannover,1,1,D,1
1371,2011-08-13,Nurnberg,Hannover,1,2,A,0
1372,2012-04-28,Leverkusen,Hannover,1,0,H,0
1373,2012-02-26,Dortmund,Hannover,3,1,H,0
1374,2012-02-11,Mainz,Hannover,1,1,D,0
1375,2012-01-21,Hoffenheim,Hannover,0,0,D,0
1376,2012-03-11,Werder Bremen,Hannover,3,0,H,0
1377,2012-02-04,Hertha,Hannover,0,1,A,0
1378,2011-10-29,M'gladbach,Hannover,2,1,H,0
1379,2011-09-10,Stuttgart,Hannover,3,0,H,0
1380,2011-12-03,Freiburg,Hannover,1,1,D,1
1381,2011-10-21,Fortuna Dusseldorf,Hansa Rostock,2,0,H,0
1382,2011-09-30,Erzgebirge Aue,Hansa Rostock,1,0,H,0
1383,2012-03-18,Karlsruhe,Hansa Rostock,2,2,D,0
1384,2012-02-05,Bochum,Hansa Rostock,2,1,H,0
1385,2011-08-14,Duisburg,Hansa Rostock,0,0,D,1
1386,2012-02-19,Aachen,Hansa Rostock,0,0,D,0
1387,2011-12-09,Paderborn,Hansa Rostock,2,0,H,0
1388,2012-03-04,Braunschweig,Hansa Rostock,3,2,H,0
1389,2012-04-29,Union Berlin,Hansa Rostock,5,4,H,0
1390,2011-07-24,Dresden,Hansa Rostock,1,1,D,0
1391,2011-11-06,Frankfurt FSV,Hansa Rostock,0,0,D,0
1392,2012-04-10,Cottbus,Hansa Rostock,0,1,A,0
1393,2011-09-16,Ein Frankfurt,Hansa Rostock,4,1,H,0
1394,2011-08-26,Ingolstadt,Hansa Rostock,3,1,H,0
1395,2011-12-03,Greuther Furth,Hansa Rostock,3,0,H,1
1396,2012-03-31,Munich 1860,Hansa Rostock,0,1,A,0
1397,2012-04-22,St Pauli,Hansa Rostock,3,0,H,0
1398,2011-09-25,Werder Bremen,Hertha,2,1,H,0
1399,2012-01-21,Nurnberg,Hertha,2,0,H,0
1400,2011-11-19,Freiburg,Hertha,2,2,D,0
1401,2011-10-15,Bayern Munich,Hertha,4,0,H,0
1402,2012-04-07,M'gladbach,Hertha,0,0,D,0
1403,2011-10-29,Wolfsburg,Hertha,2,3,A,0
1404,2011-08-21,Hannover,Hertha,1,1,D,0
1405,2011-08-13,Hamburg,Hertha,2,2,D,0
1406,2012-02-11,Stuttgart,Hertha,5,0,H,0
1407,2011-09-10,Dortmund,Hertha,1,2,A,0
1408,2012-02-25,Augsburg,Hertha,3,0,H,0
1409,2012-04-28,Schalke 04,Hertha,4,0,H,0
1410,2012-04-14,Leverkusen,Hertha,3,3,D,0
1411,2011-12-03,Kaiserslautern,Hertha,1,1,D,1
1412,2012-03-24,Mainz,Hertha,1,3,A,0
1413,2012-03-10,FC Koln,Hertha,1,0,H,0
1414,2011-12-17,Hoffenheim,Hertha,1,1,D,0
1415,2012-03-17,Augsburg,Mainz,2,1,H,0
1416,2011-10-01,Nurnberg,Mainz,3,3,D,0
1417,2011-08-13,Freiburg,Mainz,1,2,A,0
1418,2012-04-28,Hamburg,Mainz,0,0,D,0
